sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR9209202,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm_h_s1_1,e8-2,e8-2-0
SRR9209203,single,200,30,p8,Solanum lycopersicum,Moneymaker,,stem,,heat,2h,medium,mm_h_s1_2,e8-2,e8-2-0
SRR1805811,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha3042_c_1,e9-0,
SRR1805718,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha3042_c_2,e9-0,
SRR1805727,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha3042_c_3,e9-0,
SRR1805729,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha3042_c_4,e9-0,
SRR1805731,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,none,0h,control,ha3042_c_5,e9-0,
SRR1805733,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha3042_1,e9-1,e9-0
SRR1805735,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha3042_2,e9-1,e9-0
SRR1805737,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha3042_3,e9-1,e9-0
SRR1805739,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha3042_4,e9-1,e9-0
SRR1805741,paired,,,p9,Solanum lycopersicum,Hazera 3042,,pollen,,heat,2h,low,ha3042_5,e9-1,e9-0
SRR10003672,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,none,0h,control,la1698_h_l_c_1,e10-2-0,
SRR10003671,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,none,0h,control,la1698_h_l_c_2,e10-2-0,
SRR10003670,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,none,0h,control,la1698_h_l_c_3,e10-2-0,
SRR10003669,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,heat,4h,high,la1698_h_l_1,e10-2,e10-2-0
SRR10003676,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,heat,4h,high,la1698_h_l_2,e10-2,e10-2-0
SRR10003675,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,heat,4h,high,la1698_h_l_3,e10-2,e10-2-0
SRR9953591,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs_h_t2_c_1,e11-1-0,
SRR9953592,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs_h_t2_c_2,e11-1-0,
SRR9953593,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs_h_t2_c_3,e11-1-0,
SRR9953578,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs_h_t2_1,e11-1,e11-1-0
SRR9953579,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs_h_t2_2,e11-1,e11-1-0
SRR9953580,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs_h_t2_3,e11-1,e11-1-0
SRR9953588,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs_h_pm1_c_1,e11-2-0,
SRR9953589,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs_h_pm1_c_2,e11-2-0,
SRR9953590,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs_h_pm1_c_3,e11-2-0,
SRR9953583,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs_h_pm1_1,e11-2,e11-2-0
SRR9953584,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs_h_pm1_2,e11-2,e11-2-0
