"","e1-1","e1-2","e1-3","e1-4","e1-5","e2-1","e2-2","e2-3","e3-1","e4-1","e4-2","e4-3","e5-1","e5-2","e6-1","e6-2","e6-3","e6-4","e7-1","e8-1","e8-2","e9-1","e10-2","e11-1","e11-2","e11-3","e12-1","e12-2","e12-3","e14-1","e14-2","e14-3","e15-1","e15-2","e15-3","e15-4","e15-5","e17-1","e17-2","e18-1","e19-1","e19-2","e19-3","e19-4","e19-5","e19-6"
"Solyc01g008620.5.1",-1.70560144557308,0,2.31848805730821,0,1.6189020257072,0,-11.5565797168712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03497383040876,0,0,0,0,0,8.92333707634936,0,0,0,-1.70560144557308,0,2.31848805730821,0,1.6189020257072,0,-6.87132762635765,0,0,0,0,0,0,0
"Solyc01g008670.5.1",-1.5964869315219,0,0,-2.64321353563382,-1.78302893014668,0,-2.05366232262298,0,0,0,0,0,0,-1.48768232288678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39920601202474,0,0,0,-1.5964869315219,0,0,-2.64321353563382,-1.78302893014668,0,0,0,0,0,0,0,0,0
"Solyc01g008790.4.1",1.12028451831025,1.26688320053477,0,-2.61460416673882,1.72609893931609,0,-2.98056216747681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30981957510121,0,0,0,0,0,0,0,0,0,1.12028451831025,1.26688320053477,0,-2.61460416673882,1.72609893931609,0,0,0,0,0,0,0,0,0
"Solyc01g009160.2.1",2.15745228845045,2.37299479283538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51837854394798,-2.97640518563742,-1.92045083816576,0,0,0,2.15745228845045,2.37299479283538,0,0,0,-2.13032046886865,0,1.42870530788628,0,0,0,0,0,0
"Solyc01g009630.3.1",1.12250533923761,0,1.20983206856415,1.78901249641479,1.11984208997588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12250533923761,0,1.20983206856415,1.78901249641479,1.11984208997588,0,0,0,0,0,0,0,0,0
"Solyc01g009690.3.1",-1.67569662677084,0,0,0,-1.7628519763748,0,-3.7322211200385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.82683690797501,0,0,0,0,0,0,0,0,0,-1.67569662677084,0,0,0,-1.7628519763748,0,0,0,0,0,0,0,0,0
"Solyc01g009700.3.1",-2.56032223549735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.64078073079193,0,0,0,0,0,2.78719590548173,0,0,0,-2.56032223549735,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g009705.1.1",-2.81240594692671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81240594692671,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g009860.3.1",-1.1687753513078,0,0,0,0,0,-1.49977749989047,0,0,0,0,0,0,0,1.27826003920385,1.12274692481767,0,0,1.27826003920385,1.19528240501621,0,0,0,0,0,0,0,0,0,0,0,0,-1.1687753513078,0,0,0,0,0,1.38160795267139,0,0,0,0,0,0,0
"Solyc01g009960.4.1",-4.3124865331091,0,0,-7.04974596573967,0,0,-3.11895161258191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3124865331091,0,0,-7.04974596573967,0,0,0,0,0,0,0,0,0,0
"Solyc01g010060.2.1",2.71037450713435,2.63697396346994,4.38650536042577,0,0,0,0,0,0,0,0,0,0,-1.58068513880875,0,0,0,0,0,0,0,0,-1.99626682863021,0,0,0,0,-2.52609956997835,-1.47126870337239,0,0,0,2.71037450713435,2.63697396346994,4.38650536042577,0,0,-4.0061419711477,-1.82388073764808,0,0,0,0,0,0,0
"Solyc01g010130.4.1",1.0312097136663,0,1.40820922749472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94978306476814,0,0,0,0,0,0,0,0,0,1.0312097136663,0,1.40820922749472,0,0,1.85136896561208,0,0,0,0,0,0,0,0
"Solyc01g010480.3.1",1.90453391251902,2.10471700429417,2.72434104591042,0,2.45214539494513,0,-3.37682494956513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09084788007875,0,0,0,0,0,1.03659091800452,0,0,0,1.90453391251902,2.10471700429417,2.72434104591042,0,2.45214539494513,-2.34924277003113,-1.2180832999601,0,0,0,0,0,0,0
"Solyc01g010650.3.1",1.71023627666227,1.52412783843113,2.6351324690781,2.82902196292224,0,0,0,0,0,0,0,0,0,1.09900443483589,0,0,0,1.03584104007217,0,0,0,0,1.51498698997807,0,0,0,0,0,0,0,0,0,1.71023627666227,1.52412783843113,2.6351324690781,2.82902196292224,0,1.2455891588816,2.47292474983199,0,0,0,0,0,0,0
"Solyc01g010970.3.1",1.93906690033435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83438837580318,0,0,0,0,0,0,0,0,0,1.93906690033435,0,0,0,0,3.79433438789064,0,0,0,0,0,0,0,0
"Solyc01g014275.1.1",-1.92397824679121,-3.79761787280849,-4.58528162780187,-5.25831500244852,-3.35307180882107,0,-2.76574957806511,0,0,0,0,0,-3.42164935317834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92397824679121,-3.79761787280849,-4.58528162780187,-5.25831500244852,-3.35307180882107,0,0,0,0,0,0,0,0,0
"Solyc01g020220.3.1",1.58611992063434,0,0,2.20720666351965,0,0,2.79504840284101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01344505128441,0,0,0,0,0,0,0,0,0,1.58611992063434,0,0,2.20720666351965,0,3.19595374924621,2.44182490343844,0,0,0,0,0,0,0
"Solyc01g028810.3.1",1.62707070027116,1.07086565596526,2.35684341760919,2.83394860598527,0,0,0,0,0,0,0,0,0,0,1.54714799213464,1.50632613539737,0,0,1.54714799213464,0,0,0,2.89752010768586,0,0,0,0,0,0,0,0,0,1.62707070027116,1.07086565596526,2.35684341760919,2.83394860598527,0,0,0,0,0,0,0,0,0,0
"Solyc01g056690.4.1",-1.32680280298094,-1.66401148437091,-2.06639428195485,-1.52588137616701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1842372951005,0,0,0,0,0,0,0,0,0,-1.32680280298094,-1.66401148437091,-2.06639428195485,-1.52588137616701,0,0,0,0,0,0,0,0,0,0
