sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR10003670,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,none,0h,control,LA-10-2-0.3,e10-2-0,
SRR10003669,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,heat,4h,high,LA-10-2.1,e10-2,e10-2-0
SRR10003676,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,heat,4h,high,LA-10-2.2,e10-2,e10-2-0
SRR10003675,paired,,,p10,Solanum lycopersicum,,LA1698,leaf,,heat,4h,high,LA-10-2.3,e10-2,e10-2-0
SRR9953591,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs-11-1-0.1,e11-1-0,
SRR9953592,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs-11-1-0.2,e11-1-0,
SRR9953593,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs-11-1-0.3,e11-1-0,
SRR9953578,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs-11-1.1,e11-1,e11-1-0
SRR9953579,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs-11-1.2,e11-1,e11-1-0
SRR9953580,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs-11-1.3,e11-1,e11-1-0
SRR9953588,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs-11-2-0.1,e11-2-0,
SRR9953589,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs-11-2-0.2,e11-2-0,
SRR9953590,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs-11-2-0.3,e11-2-0,
SRR9953583,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs-11-2.1,e11-2,e11-2-0
SRR9953584,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs-11-2.2,e11-2,e11-2-0
SRR9953577,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs-11-2.3,e11-2,e11-2-0
SRR9953585,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs-11-3-0.1,e11-3-0,
SRR9953586,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs-11-3-0.2,e11-3-0,
SRR9953587,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs-11-3-0.3,e11-3-0,
SRR9953594,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs-11-3.1,e11-3,e11-3-0
SRR9953581,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs-11-3.2,e11-3,e11-3-0
SRR9953582,single,200,30,p11,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs-11-3.3,e11-3,e11-3-0
SRR2939221,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,none,0h,control,h-12-1-0.1,e12-1-0,
SRR2939222,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,none,0h,control,h-12-1-0.2,e12-1-0,
SRR2939223,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,none,0h,control,h-12-1-0.3,e12-1-0,
SRR2939224,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,heat,12h,low,h-12-1.1,e12-1,e12-1-0
SRR2939225,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,heat,12h,low,h-12-1.2,e12-1,e12-1-0
SRR2939226,paired,,,p12,Solanum lycopersicum,Heinz,,fruit,,heat,12h,low,h-12-1.3,e12-1,e12-1-0
SRR2939227,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,none,0h,control,sm-12-2-0.1,e12-2-0,
SRR2939228,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,none,0h,control,sm-12-2-0.2,e12-2-0,
SRR2939229,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,none,0h,control,sm-12-2-0.3,e12-2-0,
SRR2939230,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,heat,12h,low,sm-12-2.1,e12-2,e12-2-0
SRR2939231,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,heat,12h,low,sm-12-2.2,e12-2,e12-2-0
SRR2939232,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,heat,12h,low,sm-12-2.3,e12-2,e12-2-0
SRR2939233,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,none,0h,control,v-12-3-0.1,e12-3-0,
SRR2939234,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,none,0h,control,v-12-3-0.2,e12-3-0,
SRR2939235,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,none,0h,control,v-12-3-0.3,e12-3-0,
SRR2939236,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,heat,12h,low,v-12-3.1,e12-3,e12-3-0
SRR2939237,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,heat,12h,low,v-12-3.2,e12-3,e12-3-0
SRR2939238,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,heat,12h,low,v-12-3.3,e12-3,e12-3-0
ERR985510,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs-14-1-0.1,e14-1-0,
ERR985511,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs-14-1-0.2,e14-1-0,
ERR985512,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs-14-1-0.3,e14-1-0,
ERR985521,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs-14-1.1,e14-1,e14-1-0
ERR985520,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs-14-1.2,e14-1,e14-1-0
ERR985519,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs-14-1.3,e14-1,e14-1-0
ERR985507,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs-14-2-0.1,e14-2-0,
ERR985508,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs-14-2-0.2,e14-2-0,
ERR985509,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs-14-2-0.3,e14-2-0,
ERR985518,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs-14-2.1,e14-2,e14-2-0
ERR985517,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs-14-2.2,e14-2,e14-2-0
ERR985516,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs-14-2.3,e14-2,e14-2-0
ERR985504,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs-14-3-0.1,e14-3-0,
ERR985505,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs-14-3-0.2,e14-3-0,
ERR985506,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs-14-3-0.3,e14-3-0,
ERR985513,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs-14-3.1,e14-3,e14-3-0
ERR985514,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs-14-3.2,e14-3,e14-3-0
ERR985515,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs-14-3.3,e14-3,e14-3-0
